Model,FeatureSet,TestSeason,Accuracy,LogLoss,NumFeatures
RandomForest,Baseline + PointsDiffLast5 + HomeAwayPointsDiffLast5,25-26,0.4421052631578947,1.1220927922314465,5
RandomForest,Baseline + HomePointsLast5 + AwayPointsLast5 + PointsDiffLast5,25-26,0.4789473684210526,1.0783335265854008,6
RandomForest,Baseline + HomePointsLast5 + AwayPointsLast5 + HomeAwayPointsDiffLast5,25-26,0.4605263157894737,1.0984898553919982,6
RandomForest,Baseline + All Points Features,25-26,0.4605263157894737,1.0819421399420894,7
GradientBoosting,Baseline,25-26,0.4631578947368421,1.100984461155359,3
GradientBoosting,Baseline + HomePointsLast5,25-26,0.46842105263157896,1.1056598401185516,4
GradientBoosting,Baseline + AwayPointsLast5,25-26,0.46578947368421053,1.0919308608669631,4
GradientBoosting,Baseline + HomePointsLast5 + AwayPointsLast5,25-26,0.4868421052631579,1.1000113328025436,5
GradientBoosting,Baseline + PointsDiffLast5,25-26,0.4868421052631579,1.0802891236326375,4
GradientBoosting,Baseline + HomeAwayPointsDiffLast5,25-26,0.45526315789473687,1.1057456784771422,4
GradientBoosting,Baseline + PointsDiffLast5 + HomeAwayPointsDiffLast5,25-26,0.45,1.1001932104432721,5
GradientBoosting,Baseline + HomePointsLast5 + AwayPointsLast5 + PointsDiffLast5,25-26,0.4868421052631579,1.078403476362352,6
GradientBoosting,Baseline + HomePointsLast5 + AwayPointsLast5 + HomeAwayPointsDiffLast5,25-26,0.47368421052631576,1.1029695055950173,6
GradientBoosting,Baseline + All Points Features,25-26,0.4789473684210526,1.0949899330523327,7
HistGradientBoosting,Baseline,25-26,0.4131578947368421,1.4503167854220422,3
HistGradientBoosting,Baseline + HomePointsLast5,25-26,0.41578947368421054,1.4456660877294134,4
HistGradientBoosting,Baseline + AwayPointsLast5,25-26,0.4394736842105263,1.3818517675038726,4
HistGradientBoosting,Baseline + HomePointsLast5 + AwayPointsLast5,25-26,0.4421052631578947,1.4092283145190954,5
HistGradientBoosting,Baseline + PointsDiffLast5,25-26,0.44473684210526315,1.3717534650913552,4
HistGradientBoosting,Baseline + HomeAwayPointsDiffLast5,25-26,0.38421052631578945,1.468283713415336,4
HistGradientBoosting,Baseline + PointsDiffLast5 + HomeAwayPointsDiffLast5,25-26,0.4394736842105263,1.404172893179035,5
HistGradientBoosting,Baseline + HomePointsLast5 + AwayPointsLast5 + PointsDiffLast5,25-26,0.44473684210526315,1.3713355280031172,6
HistGradientBoosting,Baseline + HomePointsLast5 + AwayPointsLast5 + HomeAwayPointsDiffLast5,25-26,0.38421052631578945,1.3946018994200107,6
HistGradientBoosting,Baseline + All Points Features,25-26,0.4342105263157895,1.374159296282663,7
