Model,Features,NumFeatures,MeanAccuracy,WeightedAccuracy,MeanLogLoss,Brier_A,Brier_D,Brier_H,TotalGames,AccuracyChange,LogLossChange
BASELINE + HomePointsLast5 + AwayGoalsAgainstPerGame + HomeHomeGoalsAgainstLast5,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + HomePointsLast5 + AwayGoalsAgainstPerGame + HomeHomeGoalsAgainstLast5,6,0.5289473684210526,0.5289473684210526,0.992571813155114,0.19284589573279337,0.18393826131250218,0.215335806190267,1520,-0.011842105263157876,0.0021051957287567813
BASELINE + HomeShotsOnTargetAgainstLast5 + AwayElo + AwayAwayGoalsAgainstLast5 + HomeGDPerGame + GoalsPerGameDiff + HomeGoalsLast5,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + HomeShotsOnTargetAgainstLast5 + AwayElo + AwayAwayGoalsAgainstLast5 + HomeGDPerGame + GoalsPerGameDiff + HomeGoalsLast5,9,0.5401315789473685,0.5401315789473684,0.9925718393182428,0.19244432405906842,0.18424969973438077,0.21471205103907368,1520,-0.0006578947368419685,0.002105221891885556
BASELINE + GDPerGameDiff + AwayAwayGoalsAgainstLast5 + GoalDiffLast5 + GoalsPerGameDiff + HomeGoalsLast5 + AwayAwayGoalsLast5,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + GDPerGameDiff + AwayAwayGoalsAgainstLast5 + GoalDiffLast5 + GoalsPerGameDiff + HomeGoalsLast5 + AwayAwayGoalsLast5,9,0.5381578947368421,0.5381578947368421,0.9925723519418921,0.1923206846788269,0.1846149245436459,0.2150618950572149,1520,-0.0026315789473684292,0.002105734515534863
BASELINE + HomePointsSeason + AwayAwayGoalsAgainstLast5 + HomeAwayPointsDiffLast5,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + HomePointsSeason + AwayAwayGoalsAgainstLast5 + HomeAwayPointsDiffLast5,6,0.5388157894736842,0.5388157894736842,0.9925723724213096,0.19285974029143224,0.18402653034283775,0.21508009415763685,1520,-0.0019736842105262387,0.002105754994952358
BASELINE + HomeShotsAgainstLast5 + AwayAwayGoalsLast5 + HomeAwayGoalsDiffLast5,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + HomeShotsAgainstLast5 + AwayAwayGoalsLast5 + HomeAwayGoalsDiffLast5,6,0.5401315789473684,0.5401315789473684,0.9925727586254801,0.19326389181909318,0.18360053293630185,0.2148819672397907,1520,-0.0006578947368420796,0.0021061411991228907
BASELINE + AwayPointsLast5 + PointsDiffLast5 + AwayElo,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + AwayPointsLast5 + PointsDiffLast5 + AwayElo,6,0.5355263157894737,0.5355263157894737,0.9925732016966751,0.19323515262355728,0.18362783171694183,0.2148321255970863,1520,-0.0052631578947367474,0.002106584270317846
BASELINE + AwayShotsAgainstLast5 + HomeGamesPlayed + HomePPG,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + AwayShotsAgainstLast5 + HomeGamesPlayed + HomePPG,6,0.5388157894736842,0.5388157894736842,0.9925732733400763,0.19240768698535654,0.1842917764734447,0.2152912528768096,1520,-0.0019736842105262387,0.0021066559137190577
BASELINE + GDPerGameDiff + AwayAwayPointsLast5 + GoalDiffLast5 + HomeGDPerGame + GoalsPerGameDiff + AwayAwayGoalsLast5,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + GDPerGameDiff + AwayAwayPointsLast5 + GoalDiffLast5 + HomeGDPerGame + GoalsPerGameDiff + AwayAwayGoalsLast5,9,0.5414473684210527,0.5414473684210527,0.9925732782989947,0.19273187551239618,0.18403511241125714,0.2156824362614529,1520,0.0006578947368421906,0.0021066608726374447
BASELINE + HomeGoalsLast5 + HomeGoalsAgainstLast5 + HomeGamesPlayed,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + HomeGoalsLast5 + HomeGoalsAgainstLast5 + HomeGamesPlayed,6,0.5361842105263158,0.5361842105263158,0.9925734481353313,0.19225446535488783,0.18445399081382827,0.21516369666846286,1520,-0.004605263157894668,0.0021068307089741056
BASELINE + HomeShotsAgainstLast5 + GDPerGameDiff + AwayElo + GoalsPerGameDiff + PPGDiff + AwayGoalsAgainstPerGame,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + HomeShotsAgainstLast5 + GDPerGameDiff + AwayElo + GoalsPerGameDiff + PPGDiff + AwayGoalsAgainstPerGame,9,0.5388157894736842,0.5388157894736842,0.9925735703034017,0.19282576119233108,0.18464089850746337,0.21405446021127097,1520,-0.0019736842105262387,0.0021069528770444323
